ID,X,Y,Class
1,-4.621561761857082,2.4292816655496283,1
2,-6.591966466977706,-0.44854354771210314,0
3,-0.08117005400751509,0.6037008821043575,0
4,1.3345439256894416,-2.652910267637697,1
5,-7.767737264328538,2.107036854648964,1
6,4.100652992279294,0.5178255786668928,1
7,4.331988883159495,2.8863740854412328,1
8,0.3840125695186458,2.7469502805210118,0
9,-2.767604734403008,-0.9201821563529498,0
10,3.0248025098974036,-1.9923325978521467,0
11,-6.214250275177264,-2.3953428734972317,1
12,9.037190088440074,0.24210099679049257,0
13,1.4927608401193897,0.37778816033325047,0
14,-9.16065974923573,0.6045752517554224,1
15,-1.8047046257046908,-2.863998762182493,1
16,-8.808561233158414,-2.8502712896419498,1
17,2.398818199172643,0.5240567066860002,0
18,5.32922357553851,-1.0419026714526756,0
19,-9.834657026212803,-1.458172104839635,0
20,2.9866595212678035,0.45304441364610426,1
21,5.697808147772479,1.8483501533761961,0
22,4.644850611061964,0.46020462939487494,1
23,-4.66507331536854,1.6800698102497433,0
24,5.074252655860088,0.3578709901084829,0
25,-7.377535393137036,1.4210273093646055,1
26,-0.9230010941552003,-1.2403779323904176,0
27,-6.526175421621987,1.7587655258897916,0
28,-7.281979662613162,1.7619045504092234,1
29,6.630868543796517,-0.9807581278208519,1
30,-7.083130306570402,2.344503166641119,1
31,0.5741886647216958,-2.5365921691009907,1
32,-0.43408135596409103,0.20327362213115485,0
33,2.6299355776352726,-0.6787762952406498,0
34,-8.117051032261466,0.640855158037644,1
35,-8.780618877409799,-0.22543301562579288,1
36,8.225595267251308,-2.085888107954148,1
37,-8.39975965013916,0.15825627626112038,1
38,-5.765371907587307,-2.663764421405348,1
39,-8.884895338538062,-1.6887521867129316,0
40,-6.1864294041485834,2.457036612108645,0
41,-8.339637977350653,0.9853959499567821,1
42,-5.412921175396392,-0.4222495636115555,1
43,-6.166083489942413,-1.8158104859927966,1
44,2.227976612680745,2.605589416216885,1
45,-8.876221910547056,-2.0119739131326146,0
46,8.652292178990617,0.5277015807426224,0
47,9.043276404679915,1.328853892643827,1
48,-2.1840250521129096,2.8372937422904423,1
49,-8.22978756977861,2.3421185023296385,1
50,4.647117988869297,-0.181210063703519,1
51,-2.866285930058046,-2.0579206662356246,0
52,1.3874312349130875,1.561403617884058,0
53,-3.5870809990257646,1.9472611229132397,1
54,-8.217566131573932,-1.2513990731797169,0
55,-9.142101377280875,0.6101553195543019,1
